Device_Fail,Gear_Type,Velocity,Torque(Nm),Wear_Measure,Sensor_1,Sensor_2
N,T,1673,30.1,210,302.4,335.5925926
N,Y,1780,26.5,101,300.5,328.5555556
Y,Y,1340,61.3,207,297.2,321.8888889
N,T,1761,26.2,164,297.5,324.1111111
N,T,1582,37.2,68,297.4,323
N,Y,1608,35,212,300.2,334.8518519
N,T,1585,37.4,118,298.2,327.8148148
N,T,1489,38.4,109,300.8,326.7037037
N,T,1376,50.6,25,301.4,331.5185185
N,T,2001,20.7,137,302.6,332.6296296
N,Y,1429,52.3,77,300.8,333.3703704
N,Y,1401,51.9,117,297.4,322.2592593
N,T,1363,45.5,26,303.4,338.9259259
N,X,1421,41.2,149,299.1,329.2962963
N,X,1692,28.2,122,302.2,333.3703704
N,Y,1303,59.3,75,297.9,320.7777778
N,Y,1385,44,5,296.2,318.5555556
N,T,1503,37.4,175,300.5,328.5555556
N,T,1303,59.7,42,301.7,331.1481481
N,T,1599,33.6,131,298.8,328.1851852
N,T,1798,29.6,81,298.4,325.5925926
N,T,1604,40.5,68,302.2,332.2592593
N,T,1468,39.4,148,304.1,340.7777778
N,Y,1497,41.8,144,297.4,325.2222222
N,Y,1389,43.3,9,300.5,327.8148148
N,T,1654,28.9,123,298,320.037037
N,Y,1761,27.2,49,298.5,326.3333333
N,T,1737,27.5,146,297.8,323
N,X,1506,46.9,154,303.8,340.7777778
N,Y,1483,40.5,8,302.3,335.2222222
N,Y,1471,50.7,157,297.3,323.7407407
N,T,1373,45.4,179,300.8,327.8148148
N,T,1709,32.1,79,300,325.2222222
N,Y,1596,30.4,191,300.4,336.3333333
N,T,1479,42.1,58,297.7,325.5925926
N,Y,1488,37.3,30,297.9,325.5925926
N,T,1923,23.9,244,302.9,337.8148148
N,Y,1694,31.4,116,304,340.4074074
N,T,1365,46.5,75,298.9,328.5555556
N,T,1596,36.6,134,303.8,338.9259259
N,Y,1924,22.6,193,298.9,325.2222222
N,T,1442,47,18,298.2,324.4814815
N,T,1693,29.5,100,297.1,323
N,T,1453,42.7,92,302,331.5185185
N,T,1498,44,155,300.7,336.7037037
N,X,1606,34.5,156,302,328.5555556
N,Y,1732,28.8,152,297.7,325.962963
N,T,1469,45.5,214,298,322.2592593
N,X,1448,45.8,163,300.1,326.3333333
N,T,1408,47.9,117,295.7,314.4814815
N,T,1831,26.9,121,302.4,334.1111111
N,T,1381,57.8,27,303.6,339.6666667
N,T,1520,41.2,154,302.5,330.7777778
N,Y,1524,33.7,204,302.6,330.7777778
N,T,1596,37.2,219,301.2,332.6296296
N,T,1378,47.5,64,300.3,334.4814815
N,T,1468,52.7,178,300.8,328.9259259
N,Y,1621,28.3,211,300.8,335.962963
N,T,1562,33,84,297.2,323.7407407
N,Y,1441,48.2,107,298.5,327.4444444
N,Y,1566,46.1,41,303.3,333.7407407
N,T,1541,37.9,192,302.4,335.962963
N,T,1676,32.7,18,298.5,329.6666667
N,X,1388,53.2,59,299.2,323
N,X,1420,46.7,136,299.8,327.0740741
N,T,1708,29.1,14,300.9,331.8888889
N,X,1403,52.8,94,296.4,319.6666667
N,Y,1385,45.6,34,299.3,325.5925926
N,T,1411,46.3,138,297.4,323.7407407
N,T,1578,37.8,101,298.3,321.5185185
N,T,1370,52.5,107,300.9,332.2592593
N,T,1589,34,116,303.4,338.9259259
N,T,1334,54,26,300.1,334.4814815
N,T,1398,52.7,31,296.3,318.9259259
N,T,1825,24.6,142,297.2,321.1481481
N,Y,1642,30.3,80,299.6,326.7037037
N,T,1638,29.1,152,299.9,330.037037
Y,Y,1336,58.2,2,303.2,334.4814815
N,Y,1338,49.6,56,297.9,325.5925926
N,T,1412,47.5,150,304.1,340.7777778
N,T,1274,55.7,169,301.1,331.8888889
N,T,1477,45.4,111,302.1,334.4814815
N,Y,1366,55.2,95,299.6,325.5925926
N,Y,1474,37,33,300.7,331.1481481
N,X,1501,42.9,212,300.2,330.4074074
N,T,1679,30.4,117,295.9,316.3333333
N,T,1577,41.4,80,298.9,329.2962963
N,T,1589,36.7,118,301.5,330.7777778
Y,T,1354,53.9,207,298.1,323.7407407
N,T,1428,55.2,88,301.3,331.8888889
N,T,1647,28.2,140,301.3,333
N,T,1523,40.7,59,303.7,339.2962963
N,T,1305,61.4,17,299.1,322.6296296
N,Y,1781,23.9,198,301.8,328.9259259
N,T,1386,41,35,297.4,322.2592593
N,Y,1879,22.4,79,300,327.0740741
Y,Y,1316,50.9,69,303.4,335.5925926
N,T,1442,43.2,49,300.7,331.5185185
N,Y,1540,33.4,32,300.4,330.7777778
N,T,1555,32.6,197,298.7,328.9259259
N,T,1467,45.4,36,301,333.3703704
N,X,1543,36.4,120,301.8,333
N,X,1495,47.4,184,300.5,328.9259259
N,T,1569,35.1,140,295.6,314.8518519
N,T,1317,56.5,7,300.3,335.2222222
N,T,1463,46.8,150,302.2,332.6296296
N,T,1454,39.7,67,300.6,331.1481481
N,Y,1450,38.5,68,300.2,334.1111111
N,T,1459,43.1,147,298.9,323.3703704
N,Y,1457,41.5,201,299.4,324.8518519
N,T,1425,45.3,48,300.7,331.5185185
N,X,1436,43.5,47,302.8,332.6296296
N,T,1657,31.9,37,302,331.5185185
N,Y,1537,33.5,146,301.7,332.6296296
N,Y,1470,45.8,85,304.1,341.8888889
N,Y,1408,38.8,20,298.2,324.8518519
N,T,1472,45,183,297.9,328.5555556
N,T,1479,39.4,18,300.8,335.2222222
N,X,1616,31.1,20,297.7,327.8148148
N,T,1632,34.2,18,302,332.6296296
N,Y,1350,54.9,153,301.5,330.4074074
N,Y,1441,36.2,169,299.1,323.7407407
N,Y,1362,50.5,34,298.7,327.8148148
N,T,1459,37.9,191,297.4,325.962963
N,T,1556,45.3,135,302.9,333
N,T,1422,50.3,146,302.1,333.3703704
N,T,1394,46.6,27,299.1,328.9259259
N,T,1671,28.8,41,298.1,324.1111111
N,Y,1485,42,13,298.3,320.7777778
N,Y,2456,13.9,82,297.9,325.2222222
N,X,1663,28.7,7,297.9,318.9259259
N,X,1362,50.7,25,301.2,328.5555556
Y,Y,1685,28.9,179,299.7,325.962963
N,T,1344,54.3,151,297.9,320.037037
N,Y,1532,40.7,178,301.3,331.5185185
N,T,1995,20.2,105,300.9,332.2592593
N,Y,1466,38.4,27,297.3,324.1111111
N,Y,1520,35.6,48,298.9,328.9259259
N,T,1525,39.4,175,300.8,331.5185185
N,T,1479,46.3,173,299.9,329.6666667
N,Y,1582,45.5,107,299.2,322.6296296
N,Y,1557,33.8,84,300.6,327.0740741
N,T,1636,31.3,192,297.2,323.7407407
N,Y,1701,28.6,98,299.5,325.2222222
N,T,1725,29,209,302.7,330.7777778
N,T,1451,42.1,125,303,338.5555556
N,T,1456,46.5,52,297.9,325.2222222
N,T,1447,47.1,185,298.2,326.7037037
N,T,1528,39.9,160,297.5,323
N,Y,2240,15.9,144,299,328.1851852
N,T,2203,16.6,169,301.4,330.037037
N,T,1437,43.3,34,297.5,323.7407407
N,T,1452,52.9,11,303.1,333.3703704
N,T,1442,48.3,52,303.8,339.6666667
N,T,1517,39,45,300.4,334.8518519
N,X,1540,37.4,75,296.4,318.9259259
N,Y,1481,48,117,297.4,324.1111111
N,T,1523,47,152,303.8,338.1851852
N,T,1508,41.5,184,301.1,333
N,Y,1566,37.6,54,302.5,335.5925926
N,Y,1523,38.2,73,300.7,327.8148148
N,T,1507,52.4,163,300.7,327.8148148
N,T,1496,38.8,215,299.8,330.7777778
N,T,1383,48.7,147,295.6,314.4814815
N,Y,1430,55.9,71,296.9,321.5185185
N,Y,1535,38.6,34,302,331.1481481
N,T,1751,29.6,160,298.8,327.8148148
N,T,1409,53.1,126,302.5,334.1111111
Y,Y,2709,9.7,2,302.7,334.8518519
N,Y,1563,37.8,31,302.3,329.2962963
N,T,1445,45.2,222,299.2,323.3703704
N,T,1650,34.6,142,297.5,326.7037037
N,T,1485,45.9,100,300.1,327.8148148
Y,T,1340,55.7,204,301.9,330.7777778
N,X,1497,37,162,299.9,334.1111111
N,T,1502,40.2,30,297.9,325.2222222
N,T,1430,54.4,85,300.8,333.3703704
N,T,1779,25.5,129,299.7,326.3333333
N,T,1887,22.6,120,300,326.3333333
N,T,1495,39.2,144,299.3,331.5185185
N,T,1443,45.7,97,299.3,331.1481481
N,Y,1341,51.9,51,297.3,322.6296296
N,T,1462,48.2,204,298,324.1111111
N,T,1352,46.4,212,300.9,331.5185185
N,T,1524,37,49,298,321.5185185
N,Z,2151,17.5,173,300.1,327.8148148
N,Y,1487,41.3,160,298,320.4074074
N,Z,1645,31.6,93,302.4,329.2962963
N,Z,1729,23.6,96,302.9,337.0740741
N,Z,1596,37.2,87,298.2,325.2222222
N,Z,1715,27.2,193,297.7,324.8518519
N,Z,1517,42.4,113,301.7,333.3703704
N,Y,1477,38.1,13,300,327.4444444
N,Z,1392,52.9,173,301,332.2592593
N,Z,1471,47,214,298.4,322.2592593
N,Y,1408,46.8,49,302.2,331.8888889
Y,Y,1296,61.3,202,300.5,333
N,Y,1434,44.4,193,297.4,323.7407407
Y,Z,1404,61.5,127,303.1,337.8148148
N,Y,1463,43.5,156,299.8,331.8888889
N,Z,1336,54.4,52,300.3,330.4074074
N,X,1637,34.5,191,297.9,323
N,Z,1340,50,144,299.2,323.3703704
N,Z,1711,28.9,38,301.2,331.8888889
N,Y,1447,42.9,12,300.6,328.1851852
N,Z,1670,29.6,13,298.5,324.4814815
N,Z,1540,37.6,83,301.9,331.8888889
N,Z,1407,42.5,145,297.5,324.1111111
N,Z,1500,39,174,300.2,334.8518519
N,Z,1517,40.2,45,298.5,326.7037037
N,Z,1330,54.6,154,302.2,335.2222222
N,Y,1436,44.8,2,297.5,324.8518519
N,Y,1432,44.5,195,302.4,333
N,Z,1373,55.6,108,299.1,329.2962963
N,Z,1490,40.6,124,298.8,328.1851852
N,Y,1638,32,198,302.5,333
N,Z,1326,58.4,90,298.3,321.8888889
N,Z,1326,55.7,114,303.5,336.7037037
N,X,1396,51.2,54,300.4,326.3333333
N,Z,1627,31.7,40,303.7,339.2962963
N,Z,1505,46.1,80,298.3,321.8888889
N,Y,1465,42.9,209,300.9,328.5555556
N,Y,1625,32.8,92,297.3,323.3703704
N,Z,1378,52.3,12,298.3,326.7037037
N,Z,1366,52.6,205,300.7,330.4074074
N,Z,1310,59.7,40,298.6,323
N,Y,1509,47.3,2,298.5,327.4444444
N,Z,1436,42.8,156,296.6,319.2962963
N,Z,1529,36.2,10,300.4,329.6666667
N,Z,1713,28,116,299,330.4074074
N,Y,1439,43,61,300.7,327.4444444
N,Z,1803,24.7,98,297.5,326.7037037
N,Y,1311,46.8,136,301.7,332.6296296
N,Y,1344,45.3,122,298.4,327.0740741
N,Y,1574,34.3,4,301.2,333
N,Y,1454,43.8,112,302.3,333.3703704
N,Z,1463,48.3,204,301.2,335.2222222
N,Y,1594,35.2,69,303.8,339.6666667
N,X,1525,41.7,235,297.5,326.3333333
N,Y,1619,31,76,301.8,331.8888889
N,Z,1400,50.8,2,301.5,332.2592593
N,Z,1367,45,85,298.2,324.8518519
N,Z,1439,43.9,30,303.2,333.3703704
N,Y,1711,28.1,17,299.1,329.6666667
N,Y,1370,44.8,20,300.5,335.962963
N,Z,1464,46.4,207,298.8,330.7777778
N,Y,1350,58.7,130,300.3,333
N,Z,1474,42.6,164,301.7,332.6296296
N,Y,1868,24.5,95,300.8,330.037037
N,X,1654,28.6,161,300.5,331.5185185
N,Z,1557,40.6,59,300.1,327.0740741
N,Y,1638,31.9,137,301.5,331.1481481
N,Y,1417,39.2,65,298.1,324.8518519
N,Y,1533,36.1,189,298.1,325.2222222
N,Y,1623,33.5,157,301.5,330.7777778
N,X,1662,30.4,55,299,322.2592593
N,X,1375,41,39,298.6,327.0740741
N,Z,1675,32.1,12,301.3,333.3703704
N,Z,1493,46.1,173,297,321.1481481
N,X,1448,39.7,107,300.4,328.1851852
N,Z,1432,49.8,198,298.1,320.7777778
N,Z,1411,42.4,48,298.2,321.5185185
N,X,1457,43.8,69,300.9,330.4074074
N,Z,1511,41.8,205,300.5,335.962963
N,Y,1482,39.3,112,297.5,326.7037037
N,X,1608,30.2,135,297.7,326.7037037
N,Y,1818,23.6,109,303.5,337.0740741
N,X,1558,36.7,137,300,330.7777778
N,Z,1516,35.3,102,299,329.6666667
N,Z,1495,51.2,175,300.4,333.7407407
N,Y,1527,41.1,53,301.2,331.5185185
N,Z,1370,56,0,298.6,328.1851852
N,Z,1802,26,130,299.3,324.1111111
N,Z,1771,24.1,213,298.9,323.7407407
Y,Z,1351,45.1,168,302.4,329.6666667
N,Z,1922,23.1,193,303.7,337.4444444
N,Z,1672,29.2,39,300.3,330.4074074
N,Z,1514,34.7,130,303.3,334.8518519
N,Z,1704,28.3,64,298.6,328.1851852
N,X,1418,43,207,297.9,320.037037
N,Y,1418,41.3,62,302.3,334.1111111
N,X,1696,29.6,65,304.1,341.5185185
N,Z,1351,47.2,73,298.8,328.5555556
N,Z,1402,51.2,186,297.1,322.2592593
Y,X,1294,62.4,101,302.1,331.5185185
N,Z,1479,41.2,155,301.2,331.8888889
N,Z,1559,35.2,66,297.8,324.4814815
N,Y,1565,36.1,110,301.4,331.1481481
N,Y,1376,59.9,74,297.6,324.1111111
N,Y,1349,51.5,21,297.5,323.7407407
N,Y,1295,57.1,146,302.3,333
N,Z,1636,35,38,302.8,332.2592593
N,Z,1705,29.1,109,298.1,320.4074074
N,Y,1564,36,126,297.4,326.3333333
N,Z,1347,53.3,104,301.4,331.1481481
N,X,1542,40.6,28,296.2,317.8148148
N,X,1476,41.7,97,300.5,334.8518519
N,Y,1864,23.3,2,300,334.1111111
N,Z,1489,42.3,114,299.4,325.962963
N,Y,1471,46,42,299.3,326.3333333
N,Z,1461,48,68,298,323.3703704
N,Z,1470,45.2,40,300.1,333.7407407
N,Y,1451,53.6,194,302.5,330.4074074
N,Y,1583,36.6,185,298.2,320.7777778
N,Z,1403,51.3,122,298,327.4444444
N,Z,2000,21.3,29,297.9,328.1851852
N,Z,1506,45.9,182,296.8,322.6296296
N,Z,1566,30.3,79,301.6,328.9259259
N,Z,1896,24.5,186,297.7,324.4814815
N,Y,1428,39.8,181,303,333
N,Z,1705,26,200,297.2,321.5185185
N,X,1510,45.5,27,299.3,330.4074074
N,X,1624,28.8,117,303,337.0740741
N,Z,1428,42.4,132,298.8,328.5555556
N,Z,1242,60.9,117,299,321.8888889
N,Z,1359,50.7,161,299.7,327.4444444
N,Y,1662,28.9,76,298.1,321.1481481
N,Y,1539,43.2,132,299.9,325.962963
N,Y,1479,38.1,182,297.6,324.8518519
N,Y,1431,43.7,46,297.2,322.6296296
N,Z,1343,44.5,15,296.9,321.5185185
N,Z,1499,38.3,142,298.3,323.7407407
N,Y,1473,40.1,7,299.4,332.2592593
N,Y,1510,38.9,199,304.4,342.2592593
N,Y,1396,45.1,12,301.1,332.2592593
N,Z,2174,16.9,112,300,325.2222222
N,Y,1487,33.6,183,298.7,327.0740741
N,X,1521,37.1,84,298.3,327.0740741
N,X,1377,52.1,181,298.6,322.6296296
N,Z,1415,49.6,21,300.2,329.6666667
N,Z,1569,41,153,298.5,327.0740741
N,Y,1562,38,162,302.2,334.4814815
N,Y,1569,37,29,298.1,321.1481481
N,X,1626,36,44,302.5,334.4814815
Y,Z,1377,41.6,34,303.4,335.962963
N,Y,1434,43.8,180,298.9,327.4444444
N,Y,1603,31.8,190,300.9,333.7407407
N,Y,1488,36.1,57,297.8,319.2962963
N,X,1431,48.5,25,300.8,335.962963
N,Y,1699,31.5,105,303.6,338.9259259
N,Z,1433,43.4,86,301.4,330.4074074
N,Y,1405,51.7,108,297.4,322.6296296
N,X,1782,24.9,93,301.1,331.1481481
N,Z,1557,33.3,190,301.8,331.8888889
N,Y,1440,37.5,111,299.3,325.962963
N,Z,1493,38.7,14,303.5,335.962963
N,Y,1902,24,151,299.5,326.3333333
N,Z,1695,29,145,298.7,328.1851852
N,X,1458,44.3,156,298.9,329.2962963
N,Z,1823,25.8,29,295.6,314.8518519
N,Y,1463,50.2,214,301.3,332.6296296
N,Z,1366,47.7,206,302,331.1481481
N,Z,1436,54.1,90,301.4,331.5185185
Y,Z,1317,49,187,301.7,328.5555556
N,Z,1645,30.4,33,298.3,324.4814815
N,Z,1621,33.7,137,301.6,331.1481481
N,Z,1381,50,193,299.2,323.7407407
N,Z,1470,44,113,301.2,330.4074074
N,Z,1481,40.9,57,301.3,331.1481481
N,Z,1485,40.7,57,298.1,322.2592593
N,X,1379,50.2,178,303.8,340.7777778
N,Z,1268,60.6,119,297.3,322.6296296
N,Y,1286,51.1,177,296.3,318.5555556
N,Z,1630,32.4,53,299.8,326.7037037
N,Z,1707,33.6,158,300.3,335.2222222
N,Z,1461,38.2,188,303.8,338.9259259
N,Z,1424,44.6,127,300.4,334.1111111
N,Y,1532,40,0,300.7,335.2222222
N,Z,1424,47.6,179,298.2,323
N,Z,1686,26.3,9,302.7,331.1481481
N,Y,1563,34.5,139,301.7,333.3703704
Y,Z,1312,65.3,192,300.8,328.5555556
N,X,1562,37.7,36,298.2,325.2222222
N,Y,1985,19.3,143,300.5,336.3333333
N,Z,1423,43.9,149,296.9,321.1481481
N,Y,1405,43.7,2,,318.5555556
N,Z,1492,45.2,155,301.6,332.2592593
N,Z,1513,38.8,189,296.9,322.6296296
N,Y,1625,33.1,137,302.3,333.7407407
Y,Z,1615,35.4,217,297.3,321.8888889
N,Z,1514,34.3,180,303.8,339.6666667
N,Y,1586,32.7,131,297.3,324.4814815
N,Z,1543,38.1,209,300.4,327.4444444
N,Z,1360,48,119,300.3,335.5925926
Y,Z,1398,55.4,217,299.1,328.1851852
N,Z,1442,43.2,96,300.6,326.7037037
N,X,1388,50.5,176,301.7,330.7777778
N,Z,1682,30.9,58,302.8,337.0740741
N,X,1354,46.9,138,300.6,336.7037037
N,Z,1488,43.4,5,301.1,334.8518519
N,Z,1230,59.6,162,298.2,322.6296296
N,Y,,45.7,192,298.7,
N,Z,1404,50.3,54,298.7,329.6666667
Y,Y,1421,44.8,101,303.6,335.5925926
N,Z,1437,42.8,23,298.8,328.1851852
N,Z,1414,36.3,209,302,327.8148148
N,Y,1503,38.2,200,301.5,330.7777778
N,Y,1454,39.4,17,301.5,331.5185185
N,Z,1663,28.2,67,298.8,328.1851852
N,Z,1827,25.4,194,299.7,332.6296296
N,Z,1528,38.4,177,303.9,338.9259259
Y,Z,1360,60.9,187,298.5,326.7037037
N,X,1456,40.6,182,299.7,325.962963
N,Z,1624,32.6,175,300.3,327.4444444
N,Z,1379,50.4,85,299.5,328.9259259
N,Z,1393,47.3,20,299.5,325.962963
N,Z,1716,28.4,66,298.4,326.3333333
N,Z,1367,54,129,300.5,328.1851852
N,Z,1388,48.2,203,297.5,323.7407407
N,Z,1313,52.9,93,300.6,328.9259259
N,Y,1516,36.7,135,296.8,319.6666667
N,Z,1512,36.9,153,300.7,336.7037037
N,Z,1570,37.2,15,302.3,334.1111111
N,Y,1521,40.2,174,302.5,336.3333333
N,Z,2437,13.8,163,300.7,333
N,Z,1448,49.6,28,302.3,334.4814815
N,Y,1459,50.3,115,298.1,324.8518519
N,Z,1520,39.9,48,302.8,336.7037037
N,Z,1355,51.3,70,298.2,320.7777778
N,Z,1474,42.4,107,296.8,319.6666667
N,Z,1531,36.7,116,297.3,324.1111111
N,Z,1470,38.6,56,300.7,337.8148148
N,Y,1385,44.8,144,296.9,321.1481481
N,Y,1555,40.6,176,298.9,329.2962963
N,Z,1479,43.6,240,300.7,327.0740741
N,Y,1295,52.7,74,298.8,328.9259259
N,Z,1469,44.7,164,301.5,332.2592593
N,X,1378,51.5,166,300.5,331.1481481
N,Z,1648,30.7,90,301.4,331.1481481
N,Y,1441,44.2,147,298.2,325.2222222
N,Z,1390,47.4,187,297.5,324.8518519
N,Z,2029,19.9,96,298.2,320.7777778
N,Z,1314,47.1,144,304,340.7777778
N,Z,1550,37,167,297.1,323
N,X,1498,38.5,37,300,326.7037037
N,Z,2012,21.1,115,304,340.037037
N,Z,1349,51.3,176,299.9,327.0740741
N,Z,1395,48.7,21,297.4,322.6296296
N,Y,1642,32.3,206,303.7,337.8148148
N,Z,1869,25.8,211,303.8,340.4074074
N,Z,1480,42.2,58,298.7,323.3703704
Y,Z,2549,13,179,299.5,324.1111111
N,Z,1638,33.8,196,301.6,331.5185185
N,Y,1452,40.8,56,298.1,321.8888889
N,Z,1348,52.8,31,299.9,326.7037037
N,X,1514,38.6,19,297.7,318.9259259
N,Y,1364,44.4,20,299.9,327.4444444
N,X,1531,35.6,16,297.3,323
N,Z,1454,52.4,90,300.1,334.4814815
N,Y,1462,44.3,37,295.7,315.2222222
N,Y,1422,49.3,69,299.1,330.4074074
N,Y,1407,53,165,301.1,333.3703704
N,Z,1742,25.9,7,300.3,330.4074074
N,Z,1450,40.9,85,299.1,330.4074074
N,Z,1570,35.5,189,299.6,327.0740741
N,Z,1436,44.2,76,301.3,331.1481481
N,Z,1442,48.5,174,303.9,341.5185185
N,Y,1498,49.5,3,301.2,334.4814815
N,Y,1438,42.3,0,299.3,323
N,Y,1245,64,120,299.6,325.2222222
N,Z,1455,40.6,82,300.6,331.5185185
N,Z,1553,40,88,299.9,325.2222222
N,Z,1584,42.8,186,297.4,325.962963
N,Y,1412,45.3,205,299.7,325.962963
N,Z,1572,35.4,158,299.8,325.962963
N,Z,1517,40.8,50,298.1,321.1481481
N,Z,1402,40.2,114,297.4,324.1111111
N,Z,2144,17.7,190,299.8,333
N,Z,1453,49.1,140,303.1,338.1851852
N,Z,1492,41.4,195,301.4,330.037037
N,Y,1443,39.2,13,296.8,319.6666667
N,Z,1516,33.7,92,297.7,324.8518519
N,Z,1631,35.1,177,299.7,325.962963
N,Z,1650,34.1,138,298.1,320.4074074
N,Z,1469,37.2,128,301.7,333
N,Z,1622,37.8,0,301.7,331.8888889
N,Z,1786,26.1,123,301.4,331.5185185
N,Z,1775,27.9,56,302.5,337.0740741
N,Y,1581,43.4,113,298,320.037037
N,Y,1423,48,199,301.2,334.8518519
N,Y,1553,42.4,60,297.5,327.0740741
N,Z,1767,27,127,298.1,320.4074074
N,Y,1456,47.2,54,302,332.2592593
N,Z,1576,31.1,149,300.5,335.962963
N,Z,1472,37.3,187,300.4,333.3703704
Y,Z,1355,57.8,195,301.6,331.8888889
N,Z,1486,48.6,75,297.4,323.3703704
N,Y,1515,38.8,124,297.9,327.4444444
Y,X,1366,48.4,130,302.3,332.2592593
N,Z,1424,49.5,155,302.9,337.8148148
N,Z,1613,31.4,57,297.9,324.4814815
N,Z,1510,40.6,162,298.7,327.8148148
N,Z,1443,42.7,231,301.8,327.4444444
N,Y,1413,47.9,97,298.2,325.2222222
N,Y,1734,31.3,64,301.2,331.8888889
N,Z,1546,31.1,11,296.9,321.5185185
N,Z,1658,30.5,7,303.3,334.1111111
N,Z,1367,41.9,113,298.1,324.8518519
N,Z,1664,29.3,178,303.8,338.9259259
N,Z,1426,52.1,121,301.5,333
N,Z,1477,44,124,298.4,323.7407407
N,Z,1412,48.3,27,297.8,320.7777778
N,Z,1819,23.4,78,298,321.8888889
N,Y,1473,42.8,97,303.9,340.4074074
N,Z,1559,33.4,58,298.9,328.9259259
N,Z,1701,27.5,145,302.3,335.2222222
N,Y,1377,53.8,125,300.3,333.7407407
N,Z,1533,42.4,48,299.1,322.6296296
N,Z,1641,27.1,16,299.8,327.0740741
N,Z,1482,39.1,45,298.8,328.5555556
N,Z,1697,30.6,12,299.2,329.6666667
N,X,1400,49.5,211,301.6,331.1481481
N,Y,1700,27.4,176,297.7,325.962963
N,Y,1866,23.1,159,302.1,334.4814815
N,Z,1679,30.7,129,299.6,333
N,Y,1353,46.2,173,298.1,324.8518519
N,Z,1571,31.2,123,300.3,335.2222222
N,Z,1293,53.7,189,299.3,325.5925926
N,Y,1664,32,58,301.6,331.8888889
N,Z,1738,25.3,14,302.5,337.0740741
